provincia_id,provincia_nombre,autos_patent_1000hab
14,Córdoba,21.956944432003045
22,Chaco,16.265458793352177
26,Chubut,27.813429593235067
06,Buenos Aires,14.050967423639232
10,Catamarca,17.63803680981595
30,Entre Ríos,14.313719869189669
34,Formosa,13.802049639657955
42,La Pampa,24.981695792586372
62,Río Negro,18.87691291771176
70,San Juan,12.687320789468176
78,Santa Cruz,23.357777630734795
82,Santa Fe,18.62149628006666
94,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",48.058735085847324
38,Jujuy,15.768857832233042
54,Misiones,10.19156211963084
02,Ciudad Autónoma de Buenos Aires,41.965187580486976
18,Corrientes,16.40565115831308
46,La Rioja,15.39063723187725
66,Salta,15.391795075662642
86,Santiago del Estero,11.310189084070876
50,Mendoza,16.11250848384517
58,Neuquén,31.1355877696418
74,San Luis,19.950406453213997
90,Tucumán,16.89869607371427
